21,"ABD MANAN PODUNGGE"
22,"H. ABDURRAHMAN ABUBAKAR BAHMID, Lc."
23,"Drs. A.D. KHALY"
24,"ALI SUTJIPTO SIDIKI"
25,"H. ARDJUN H. MOGULAINGO, S.H."
26,"ASRIN MOSII"
27,"BURHAN MANTULANGI"
28,"CONNY GOBEL"
29,"DEWI SARTIKA HEMETO, S.E."
30,"ELLY MOPANGGA"
31,"Ir. FADEL MUHAMMAD"
32,"IMAN MAANAIYA"
33,"INDRAWANTO HASAN"
34,"ISHAK KADILI, S.T."
35,"H. ISHAK LIPUTO, S.IP"
36,"JAMALUDDIN MOOWAGO, S.Kom"
37,"Drs. H. LAHMUDIN LAPARAGA, M.H."
38,"Hj. MIRNAWATI MODANGGU, S.Ag., M.Pd."
39,"MOCH. DAHLAN USMAN, S.E."
40,"Drs. H. MUHAMMAD N. TULI, M.Ag."
41,"NILDA TULEN"
42,"NURAINI PODUNGGE"
43,"OKTAFINA PIKOLI"
44,"RAHMIJATI JAHJA"
45,"SATYA ALVINO PINANDITO BYA"
46,"SRI HANTUTI PARAMATA, S.E., M.Pd."
47,"SUMARNI R. GANI"
48,"Ir. SYARIFUDDIN MOBILIU"
49,"Dr. H. WENI LIPUTO, M.M."
