21,"AHMAD BILAL TUHULELE"
22,"ANNA LATUCONSINA, SH"
23,"ANTHONI HATANE, SH, MH"
24,"Drs. BITZAEL S. TEMMAR"
25,"Dr. DJUNAIDI RUPELU, SE, M.SI"
26,"EDDY SAMBUAGA, M.SC"
27,"ELVIS CHARLES LAHALLO"
28,"ENGELINA H. L. PATTIASINA"
29,"EVERD HERMAN KERMITTE"
30,"Drs. FREDERIK LATUMAHINA"
31,"Ir. HENDRIK KOEDOEBOEN, MM, M.SI, C.EIA"
32,"Dr. HERMANUS HATTU, SH, MH"
33,"Prof. Dr. JOHN PIERIS, SH, MS"
34,"Drs. JOHOZUA M. YOLTUWU, M.SI"
35,"JOSEPH SIKTEUBUN, S.SOS"
36,"LUTHFI SANAKY, SH, MH"
37,"Ir. MASBANSA SANGADJI"
38,"M. BARKAH PATTIMAHU"
39,"MIRATI DEWANINGSIH, ST"
40,"MOHAMAD IKHSAN TUALEKA, S.IP, M.I.K"
41,"H. MOHAMAD SUHFI MAJID, ST, M.SI"
42,"Ir. MOH. ZIDIK SANGADJI, M.SI"
43,"Ir. MUHAMAD YASIR KAISUKU"
44,"MUSYAFI RUMADAN, S.IP"
45,"Dr. NONO SAMPONO, M.SI"
46,"NOVITA ANAKOTTA, SH, MH"
47,"ONGKI ANAKODA, SH"
48,"RIZALDI LIMPAS, SH"
49,"ZULKARNAIN AWAT AMIR"
