21,H. ABAY ZAENUDIN, M.Si.
22,H. ABDI SUMAITHI
23,ANDIARA APRILIA HIKMAT
24,Hj. ASIROH
25,H. BUDI HERYADI. S.E., S.H.
26,Hj. CICIH SUTIANINGSIH
27,DANI SAMIUN, S.H.
28,ENOH JUNAEDI, S.H.
29,Ir. ETEN HILMAN HARTONO
30,HABIB ALI ALWI
31,HAWASI SYABRAWI
32,HERNIATIE SRI ANA M
33,HIKA TRANSISIA AP
34,JUJU SUJANA, S.M.
35,H. TB. M. ALI RIDHO AZHARI, S.H., M.I.Kom.
36,M. FADHLIN AKBAR
37,MOCHAMMAD FARID DERMAWAN
38,MUHAMMAD NAWAWI
39,NANA PRAYATNA RAHADIAN
40,REZA IBNU MALIK, S.Sos.
41,RUKYAT BIN IDRIS
42,SOFYAN NURDIN
43,H. SUTISNA SUKANDAR M
44,Drs. H. TAFTAZANI
45,TB. TENGKU ABDUROHMAN, S.E., M.M.
46,TOPARI, S.Sos., M.H.
