21,Dr. ABDUL HAKIM SIAGIAN, S.H., M.Hum
22,Prof. Dr. H. ALI YAKUB MATONDANG, M.A
23,Dr. BADIKENITA BR SITEPU, S.E., M.Si
24,H. DADANG DARMAWAN PASARIBU, M.Si
25,Prof. Dr. Ir. Hj DARMAYANTI LUBIS
26,H. DEDI ISKANDAR BATUBARA, S.Sos., S.H., M.SP
27,H. FAISAL AMRI, S.Ag., M.Ag
28,MARNIX SAHATA HUTABARAT
29,M. NURSYAM
30,H. MUHAMMAD NUH, M.SP
31,PARLINDUNGAN PURBA, S.H., M.M
32,RAIDIR SIGALINGGING, S.E
33,H. SOLAHUDDIN NASUTION, S.E., M.Si
34,Ustadz. H. SULTONI TRIKUSUMA, M.A
35,SUTAN ERWIN SIHOMBING, A.Md., S.H
36,H. SYAMSUL HILAL
37,Ir. TOLOPAN SILITONGA
38,Pdt. WILLEM T.P. SIMARMATA, M.A
39,ABDILLAH
