21,ABDULLAH MANARAY, ST.
22,AMOS LUKAS WATORI, SH.
23,FILEP WAMAFMA, SH., M.Hum.
24,JACOB ESAU KOMIGI, SH., MM.
25,KARIADI, SH., MH.
26,MAMBEROB YOSEPHUS RUMAKIEK, S.Si., M.Kesos.
27,M. SANUSI RAHANINGMAS, S.Sos., M.MSip.
28,SIRAJUDIN, SH.
29,SOFIA MAIPAUW
30,YANCE SAMONSABRA, SH.
