21,ABDUL FAZRI, S.E.
22,Drs. H. ABDUL RAHMI
23,H. AMRI KALAM, S.H., M.H.
24,BENI SULASTIYO, S.E.
25,Drs. CHRISTIANDY SANJAYA, S.E., M.M.
26,ERLINAWATI, S.H., M.AP.
27,GLORIO SANEN, S.H.
28,dr. IKKE WISAKSONO
29,JOSEPH ODILLO OENDOEN, S.Sn.
30,Dr. KHALILAH, M.Pd.
31,MARIA GORETI, S.Sos., M.Si.
32,Drs. H. M. SURONTO
33,MUHAMMAD ISA, S.Pd.
34,MUHAMMAD SALEH
35,MUJILASTUTI
36,N. CH. SAIYAN, S.H., M.H.
37,Hj. RUBAETI ERLITA, S.Sos.I., S.H.,
38,Prof. Dr. H. SAMION AR, M.Pd.,
39,H. SUKIRYANTO
40,YUDI ALDIYANSYAH, S.E.
