21,"CHERISH HARRIETTE"
22,"DJAFAR ALKATIRI"
23,"FERRY SANGER WEKU"
24,"FEYKE ROBOT"
25,"HELFRIED LOMBO"
26,"HENDRA JACOB"
27,"H. W. B. SUMAKUL, S.Th."
28,"IRVAN BASRI"
29,"JOHANIS C. SALIBANA"
30,"Dra. JULL TAKALIUANG"
31,"LEXI MANTIRI, S.S."
32,"MAYA RUMANTIR"
33,"Pdt. MEIVA LINTANG, S.Th."
34,"Dr. ML. DENNY TEWU, S.E., M.M."
35,"MUHAMMAD SALIM LANDJAR"
36,"NOUKE PAAT"
37,"PRICYLIA ELVIERA RONDO, S.S."
38,"RM. LUNTUNGAN"
39,"Ir. STEFANUS B. A. N. LIOW"
40,"SYACHRIAL KUI DAMAPOLII, S.Sos."
41,"TEDIUS KUEMBA BATASINA"
42,"VIVIAN TIRAYOH DIMPUDUS, S.E."
43,"dr. WIESJE ABIGAEL ROMPIS, M.Si."
