21,"AHMAD KARTADI, A.Md."
22,"ALWAN SAPUTRA, S.Pi."
23,"ASNI"
24,"H. FADLAN HAMID"
25,"FERNANDO SINAGA, S.Th."
26,"HASAN BASRI, S.E."
27,"HERU RACHMADY, S.H."
28,"HERWANSYAH, S.E."
29,"JOKO SLAMET"
30,"Dr. Drs. MARTHIN BILLA, M.M."
31,"MASHUR BIN MOHD ALIAS"
32,"MATHIUS SUKIDI"
33,"Hj. MISDAWATI, S.H."
34,"MUHAMMAD ISRA RAMLI"
35,"H. MUHAMMAD ROZAI, S.I.P., M.A.P."
36,"MUKLIS, S.H."
37,"KH. MUSLIHUDDIN ABDURRASYID, LC., M.Pd.I."
38,"Drs. H. NURSYAMSA HADIS"
39,"Dr. PITHER PALUNGAN, S.E., M.Si."
40,"RICKY VALENTINO, S.Pt., M.IKom."
41,"RUMAN TUMBO, S.H."
42,"SUHARDJO, S.IP."
43,"ZAKARIA BASRAN, S.E., M.Si."
